State,Year,Production,ANNUAL
TAMIL NADU,2016-17,114648.80645161291,943.7130434782608
TAMIL NADU,2017-18,77191.27906976744,943.7130434782608
TAMIL NADU,2018-19,70477.58620689655,943.7130434782608
TAMIL NADU,2019-20,83507.59770114943,943.7130434782608
TELANGANA,2013-14,365616.1111111111,953.3782608695652
TELANGANA,2014-15,252499.0,953.3782608695652
TELANGANA,2015-16,169293.83333333334,953.3782608695652
TELANGANA,2016-17,109984.65,953.3782608695652
TELANGANA,2017-18,104390.48333333334,953.3782608695652
TELANGANA,2018-19,104202.25,953.3782608695652
TELANGANA,2019-20,177968.67164179104,953.3782608695652
UTTARAKHAND,2000-01,39243.46666666667,1465.6965217391305
UTTARAKHAND,2001-02,34089.23529411765,1465.6965217391305
UTTARAKHAND,2002-03,34878.333333333336,1465.6965217391305
UTTARAKHAND,2003-04,33872.3125,1465.6965217391305
UTTARAKHAND,2004-05,37349.53333333333,1465.6965217391305
UTTARAKHAND,2005-06,37944.4,1465.6965217391305
UTTARAKHAND,2006-07,38089.066666666666,1465.6965217391305
UTTARAKHAND,2007-08,35316.6875,1465.6965217391305
UTTARAKHAND,2008-09,35520.0625,1465.6965217391305
UTTARAKHAND,2009-10,39401.066666666666,1465.6965217391305
UTTARAKHAND,2010-11,34099.125,1465.6965217391305
UTTARAKHAND,2011-12,39317.6,1465.6965217391305
UTTARAKHAND,2012-13,40459.4,1465.6965217391305
UTTARAKHAND,2013-14,37066.75,1465.6965217391305
UTTARAKHAND,2014-15,37553.75,1465.6965217391305
UTTARAKHAND,2015-16,40118.25,1465.6965217391305
UTTARAKHAND,2016-17,39893.5625,1465.6965217391305
UTTARAKHAND,2017-18,41554.5,1465.6965217391305
UTTARAKHAND,2018-19,39158.3125,1465.6965217391305
UTTARAKHAND,2019-20,42339.3125,1465.6965217391305
UTTARAKHAND,2020-21,45276.8125,1465.6965217391305
